	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC
K13953	27.7995004556927	400.873051090415	-2.62894145136318	0.999999999999997	-3.85001457106284
K11737	11.2736002761648	225.109044493124	-2.71790046554965	0.999999999999994	-4.31960379744295
K01621	408.798607528741	6069.04579120217	-3.16620638358519	0.999999999999992	-3.89200751863931
K21739	57.9847738625276	894.047568634307	-2.7225597526977	0.99999999999999	-3.94660557349563
K20861	36.2811430499004	362.963196969754	-2.72694139721529	0.999999999999984	-3.32253145777614
K00690	23.8611413871321	325.469739953272	-2.73530789917149	0.999999999999982	-3.76978845680638
K02840	3.89094237228018	206.928737049382	-3.1062523298847	0.999999999999977	-5.73287058881807
K06885	71.6788572872605	805.152824937509	-2.80072723112147	0.999999999999976	-3.48964310207913
K00033	131.00520203981	1712.92117564603	-2.59316210192069	0.999999999999974	-3.70876275824091
K07386	8.99521386388877	289.78799345579	-2.84525581837512	0.999999999999966	-5.00969642953878
K16012	14.7991703551786	333.346787606669	-2.58755054550287	0.99999999999981	-4.49343561880626
K22043	16.4855142615415	247.436541121476	-2.57674872568014	0.999999999988265	-3.90778777412384
K24163	10.6361271205529	166.675488980934	-2.57520002794708	0.999999999979095	-3.96999712931505
K00950	6.70648541279719	131.522813182232	-2.52472774389254	0.999971183620528	-4.29361234387356
K19089	1.04397307395061	44.7243049965353	-2.52025166153094	0.999933225455978	-5.42090265571141
K22736	8.95869170768617	279.152700120978	-2.36224678895122	0.99801289468595	-4.96162263839188
K03387	110.761854096313	1037.27709829464	-2.36031194872557	0.997597748563575	-3.22726833321449
K03696	935.303238999892	6041.16898171507	-2.49017566322031	0.996680096318082	-2.69132165295701
K03778	182.177109981473	743.915733681249	-2.21171539493414	0.995896417915165	-2.02979751060013
K14205	2.62677786486848	57.6627075924508	-2.21384544653216	0.995872378479284	-4.45627247284625
K01007	219.568262918899	2774.15362499738	-2.39436798194476	0.995827718830418	-3.6593062394697
K04072	1525.8693813616	5326.21727378572	-2.21558854390381	0.995803621599776	-1.80347981321498
